,num_job_openings
"Sunnyvale, CA, USA",127
"Mountain View, CA, USA",108
"New York, NY, USA",49
"San Francisco, CA, USA",41
"Seattle, WA, USA",33
"Kirkland, WA, USA",31
"Austin, TX, USA",28
"San Bruno, CA, USA",26
"Pittsburgh, PA, USA",16
"Los Angeles, CA, USA",16
"Chicago, IL, USA",15
"Boulder, CO, USA",12
"Cambridge, MA, USA",11
"Palo Alto, CA, USA",9
"Irvine, CA, USA",8
"Madison, WI, USA",6
"Atlanta, GA, USA",6
"Boston, MA, USA",5
"Reston, VA, USA",4
"Bellevue, WA, USA",3
"Portland, OR, USA",3
"Santa Barbara, CA, USA",3
"Addison, TX, USA",3
"Redwood City, CA, USA",3
"Durham, NC, USA",3
"Henderson, NV, USA",2
"The Dalles, OR 97058, USA",2
"San Diego, CA, USA",2
"Rochester, MN, USA",2
"Council Bluffs, IA, USA",2
"Lenoir, NC, USA",1
"Clarksville, TN, USA",1
"Moncks Corner, SC 29461, USA",1
"Bridgeport, AL 35740, USA",1
"St. Louis, MO, USA",1
"Charlotte, NC, USA",1
"Chapel Hill, NC, USA",1
"Minneapolis, MN, USA",1
"Houston, TX, USA",1
"Dallas, TX, USA",1
"Ann Arbor, MI, USA",1
"Lithia Springs, GA, USA",1
